,DisasterID,CountryName,Year,Intensity,Type
0,0,New Zealand,-4360.0,6.0,Volcano
1,1,Japan,-4350.0,7.0,Volcano
2,2,Nicaragua,-4050.0,6.0,Volcano
3,3,Papua New Guinea,-4000.0,6.0,Volcano
4,4,Philippines,-3580.0,6.0,Volcano
5,5,Philippines,-3550.0,6.0,Volcano
6,6,Italy,-2420.0,5.0,Volcano
7,7,Papua New Guinea,-2040.0,6.0,Volcano
8,8,United States,-1900.0,6.0,Volcano
9,9,Chile,-1890.0,6.0,Volcano
10,10,United States,-1860.0,6.0,Volcano
11,11,United States,-1750.0,6.0,Volcano
12,12,United States,-1645.0,6.0,Volcano
13,13,Greece,-1610.0,7.0,Volcano
14,14,United States,-1550.0,,Volcano
15,15,New Zealand,-1460.0,6.0,Volcano
16,16,Papua New Guinea,-1370.0,6.0,Volcano
17,17,Philippines,-1050.0,6.0,Volcano
18,18,Ecuador,-1010.0,5.0,Volcano
19,19,Ecuador,-455.0,4.0,Volcano
20,20,New Zealand,-250.0,6.0,Volcano
21,21,Greece,-197.0,3.0,Volcano
22,22,Italy,-141.0,,Volcano
23,23,United States,-100.0,6.0,Volcano
24,24,Nicaragua,-50.0,6.0,Volcano
25,25,Greece,46.0,3.0,Volcano
26,26,Vanuatu,50.0,6.0,Volcano
27,27,United States,60.0,6.0,Volcano
28,28,Italy,79.0,5.0,Volcano
29,29,"Yemen, Rep.",200.0,,Volcano
30,30,New Zealand,233.0,6.0,Volcano
31,31,Russian Federation,240.0,6.0,Volcano
32,32,Papua New Guinea,350.0,,Volcano
33,33,United States,350.0,,Volcano
34,34,Indonesia,416.0,,Volcano
35,35,El Salvador,450.0,6.0,Volcano
36,36,"Yemen, Rep.",500.0,,Volcano
37,37,El Salvador,590.0,,Volcano
38,38,Saudi Arabia,640.0,2.0,Volcano
39,39,Papua New Guinea,653.0,6.0,Volcano
40,40,Papua New Guinea,683.0,6.0,Volcano
41,41,Papua New Guinea,710.0,6.0,Volcano
42,42,Japan,764.0,4.0,Volcano
43,43,Japan,766.0,3.0,Volcano
44,44,Italy,787.0,3.0,Volcano
45,45,United States,847.0,6.0,Volcano
46,46,Iceland,920.0,4.0,Volcano
47,47,Mexico,930.0,6.0,Volcano
48,48,Iceland,934.0,4.0,Volcano
49,49,Northern Mariana Islands,946.0,7.0,Volcano
50,50,Iceland,950.0,,Volcano
51,51,Greece,1050.0,,Volcano
52,52,Iceland,1104.0,5.0,Volcano
53,53,Iceland,1151.0,1.0,Volcano
54,54,Iceland,1158.0,4.0,Volcano
55,55,Italy,1169.0,,Volcano
56,56,Italy,1169.0,,Volcano
57,57,Iceland,1177.0,3.0,Volcano
58,58,Iceland,1206.0,2.0,Volcano
59,59,Ethiopia,1250.0,,Volcano
60,60,Iceland,1262.0,3.0,Volcano
61,61,Ecuador,1280.0,6.0,Volcano
62,62,Iceland,1300.0,4.0,Volcano
63,63,Italy,1302.0,,Volcano
64,64,Iceland,1311.0,4.0,Volcano
65,65,Indonesia,1311.0,3.0,Volcano
66,66,Italy,1329.0,3.0,Volcano
67,67,Italy,1329.0,3.0,Volcano
68,68,Japan,1331.0,2.0,Volcano
69,69,Indonesia,1334.0,3.0,Volcano
70,70,Iceland,1341.0,3.0,Volcano
71,71,Iceland,1357.0,4.0,Volcano
72,72,Iceland,1362.0,5.0,Volcano
73,73,Mexico,1375.0,5.0,Volcano
74,74,Indonesia,1376.0,3.0,Volcano
75,75,Indonesia,1385.0,3.0,Volcano
76,76,Iceland,1389.0,3.0,Volcano
77,77,Japan,1410.0,3.0,Volcano
78,78,Vanuatu,1430.0,,Volcano
79,79,Japan,1471.0,5.0,Volcano
80,80,Iceland,1477.0,6.0,Volcano
81,81,Japan,1485.0,2.0,Volcano
82,82,Iceland,1500.0,4.0,Volcano
83,83,Iceland,1510.0,4.0,Volcano
84,84,Iceland,1510.0,4.0,Volcano
85,85,Italy,1536.0,3.0,Volcano
86,86,Italy,1538.0,3.0,Volcano
87,87,United States,1540.0,4.0,Volcano
88,88,Indonesia,1550.0,3.0,Volcano
89,89,Indonesia,1550.0,3.0,Volcano
90,90,Indonesia,1564.0,3.0,Volcano
91,91,Guatemala,1565.0,3.0,Volcano
92,92,Japan,1566.0,3.0,Volcano
93,93,Solomon Islands,1568.0,3.0,Volcano
94,94,Nicaragua,1570.0,,Volcano
95,95,Philippines,1572.0,3.0,Volcano
96,96,Mexico,1576.0,3.0,Volcano
97,97,Portugal,1580.0,3.0,Volcano
98,98,Iceland,1580.0,4.0,Volcano
99,99,Papua New Guinea,1580.0,6.0,Volcano
100,100,Guatemala,1581.0,4.0,Volcano
101,101,Indonesia,1586.0,5.0,Volcano
102,102,Indonesia,1587.0,4.0,Volcano
103,103,Mexico,1590.0,3.0,Volcano
104,104,Indonesia,1593.0,5.0,Volcano
105,105,Colombia,1595.0,4.0,Volcano
106,106,Japan,1596.0,2.0,Volcano
107,107,Iceland,1597.0,4.0,Volcano
108,108,Indonesia,1597.0,3.0,Volcano
109,109,Japan,1598.0,2.0,Volcano
110,110,Iceland,1598.0,3.0,Volcano
111,111,Peru,1600.0,6.0,Volcano
112,112,Japan,1606.0,2.0,Volcano
113,113,Indonesia,1608.0,3.0,Volcano
114,114,China,1609.0,,Volcano
115,115,Iceland,1615.0,3.0,Volcano
116,116,Guatemala,1617.0,3.0,Volcano
117,117,Iceland,1625.0,5.0,Volcano
118,118,Iceland,1629.0,2.0,Volcano
119,119,Portugal,1630.0,4.0,Volcano
120,120,Ethiopia,1631.0,,Volcano
121,121,Italy,1631.0,5.0,Volcano
122,122,Iceland,1636.0,3.0,Volcano
123,123,Indonesia,1638.0,4.0,Volcano
124,124,Japan,1640.0,5.0,Volcano
125,125,Ecuador,1640.0,3.0,Volcano
126,126,Indonesia,1646.0,4.0,Volcano
127,127,Greece,1650.0,4.0,Volcano
128,128,El Salvador,1659.0,3.0,Volcano
129,129,Iceland,1659.0,4.0,Volcano
130,130,Iceland,1660.0,4.0,Volcano
131,131,Ecuador,1660.0,4.0,Volcano
132,132,Iceland,1660.0,4.0,Volcano
133,133,Papua New Guinea,1660.0,6.0,Volcano
134,134,Japan,1663.0,5.0,Volcano
135,135,Japan,1664.0,2.0,Volcano
136,136,Japan,1664.0,,Volcano
137,137,Italy,1669.0,3.0,Volcano
138,138,Italy,1669.0,3.0,Volcano
139,139,Vanuatu,1670.0,2.0,Volcano
140,140,Portugal,1672.0,2.0,Volcano
141,141,Indonesia,1672.0,3.0,Volcano
142,142,Indonesia,1673.0,5.0,Volcano
143,143,Spain,1677.0,2.0,Volcano
144,144,"Yemen, Rep.",1679.0,,Volcano
145,145,Italy,1682.0,3.0,Volcano
146,146,Iceland,1684.0,2.0,Volcano
147,147,Italy,1690.0,3.0,Volcano
148,148,Indonesia,1690.0,3.0,Volcano
149,149,Iceland,1692.0,4.0,Volcano
150,150,Italy,1693.0,,Volcano
151,151,Iceland,1693.0,4.0,Volcano
152,152,Iceland,1694.0,3.0,Volcano
153,153,Italy,1698.0,3.0,Volcano
154,154,Indonesia,1698.0,3.0,Volcano
155,155,Ecuador,1698.0,3.0,Volcano
156,156,Spain,1706.0,2.0,Volcano
157,157,Greece,1707.0,3.0,Volcano
158,158,Japan,1707.0,4.0,Volcano
159,159,Indonesia,1711.0,3.0,Volcano
160,160,Iceland,1712.0,2.0,Volcano
161,161,Italy,1714.0,,Volcano
162,162,Indonesia,1716.0,2.0,Volcano
163,163,Philippines,1716.0,4.0,Volcano
164,164,Iceland,1716.0,2.0,Volcano
165,165,Japan,1716.0,3.0,Volcano
166,166,Japan,1717.0,3.0,Volcano
167,167,Iceland,1717.0,3.0,Volcano
168,168,Guatemala,1717.0,3.0,Volcano
169,169,Portugal,1718.0,2.0,Volcano
170,170,Iceland,1721.0,5.0,Volcano
171,171,Japan,1721.0,1.0,Volcano
